User_ID,Age,Gender,Education_Level,Employment_Status,Household_Income,Location_Type,Basic_Computer_Knowledge_Score,Internet_Usage_Score,Mobile_Literacy_Score,Post_Training_Basic_Computer_Knowledge_Score,Post_Training_Internet_Usage_Score,Post_Training_Mobile_Literacy_Score,Modules_Completed,Average_Time_Per_Module,Quiz_Performance,Session_Count,Engagement_Level,Adaptability_Score,Feedback_Rating,Skill_Application,Employment_Impact,Overall_Literacy_Score
U0014,52,Male,None,Unemployed,Medium,Rural,47,29,24,85,49,54,12,16.96,61,25,Medium,67,5,64,No,64.9
U0015,49,Female,High School,Self-Employed,Low,Rural,0,35,1,30,77,23,14,10.61,72,29,Medium,90,2,66,Yes,42.0
U0016,20,Male,Secondary,Unemployed,Low,Semi-Rural,26,22,2,65,57,28,13,14.26,87,25,Medium,56,1,72,No,51.5
U0017,64,Male,Secondary,Self-Employed,Low,Semi-Rural,37,25,50,84,73,86,8,29.72,65,23,Low,65,2,57,No,81.3
U0018,39,Female,Secondary,Other,Low,Semi-Rural,16,35,6,37,78,32,15,28.61,91,21,Medium,81,3,61,Yes,47.8
U0019,51,Male,Primary,Unemployed,Low,Semi-Rural,38,17,37,88,60,82,13,29.88,96,26,Medium,95,4,99,No,77.8
U0020,26,Female,High School,Farmer,Medium,Rural,44,11,21,76,36,49,7,27.1,100,10,Medium,100,2,68,No,55.9
U0021,60,Male,None,Self-Employed,Low,Rural,22,32,35,56,62,82,7,17.09,75,19,Medium,98,5,56,Yes,65.6
U0022,39,Female,Primary,Farmer,High,Rural,50,15,39,96,64,81,15,27.69,77,18,Low,99,3,93,No,81.9
U0023,31,Female,High School,Self-Employed,Low,Semi-Rural,9,5,33,43,37,55,13,28.04,87,21,Medium,65,1,68,Yes,44.8
U0024,48,Female,Secondary,Other,Medium,Rural,10,9,35,47,41,82,15,28.45,62,10,Low,69,2,78,No,55.7
U0025,58,Female,Secondary,Unemployed,Low,Semi-Rural,13,29,6,43,50,29,9,11.26,81,25,Low,57,5,70,No,40.9
U0026,53,Male,Primary,Other,Medium,Rural,48,17,4,86,50,47,11,25.24,60,17,Medium,78,3,99,No,63.5
U0027,57,Female,Primary,Farmer,Low,Semi-Rural,39,42,40,81,70,72,11,12.41,60,10,Medium,98,5,52,No,75.0
U0028,57,Female,Secondary,Unemployed,Low,Rural,1,7,5,35,32,47,8,21.11,97,30,High,63,3,97,No,37.7
U0029,54,Male,High School,Unemployed,Medium,Semi-Rural,35,46,34,60,76,84,14,24.62,91,29,Low,75,1,100,Yes,72.0
U0030,34,Female,Secondary,Farmer,Low,Semi-Rural,12,33,24,59,66,57,5,20.23,100,14,Low,99,1,61,No,60.5
U0031,31,Other,High School,Student,Low,Semi-Rural,50,11,31,71,37,77,11,28.9,78,15,Low,72,4,63,No,62.6
U0032,58,Female,Secondary,Self-Employed,Medium,Semi-Rural,18,40,50,61,81,89,6,23.84,73,14,Low,63,1,51,No,75.4
U0033,35,Male,None,Self-Employed,Low,Rural,12,20,41,37,46,78,9,17.61,69,27,Low,66,5,74,Yes,52.0
U0034,46,Male,Secondary,Self-Employed,Low,Rural,21,14,32,52,58,72,6,17.18,72,11,Medium,87,1,60,No,59.8
U0035,55,Female,None,Self-Employed,Medium,Rural,50,12,1,80,37,45,11,15.7,78,23,Low,90,4,73,Yes,56.6
U0036,27,Female,High School,Unemployed,Medium,Rural,24,25,0,45,47,20,15,20.8,87,14,High,64,2,65,No,38.1
U0037,39,Female,Secondary,Self-Employed,Medium,Semi-Rural,14,13,9,60,50,50,10,22.38,93,18,Medium,61,4,52,No,54.0
U0038,40,Male,Secondary,Unemployed,Low,Semi-Rural,29,14,11,62,58,35,6,10.9,88,11,Medium,76,2,100,Yes,52.7
U0039,37,Male,Primary,Other,Low,Rural,37,28,39,77,65,63,8,21.88,68,26,High,91,2,92,Yes,69.2
U0040,51,Male,None,Farmer,Low,Rural,44,41,34,73,63,72,13,14.97,93,26,Medium,73,1,96,No,69.7
U0041,46,Female,High School,Other,Low,Rural,25,7,21,54,40,49,12,17.09,81,11,Low,97,3,53,No,48.3
U0042,45,Male,None,Student,Low,Rural,33,32,25,58,57,46,15,19.51,84,18,Medium,78,3,58,Yes,54.1
U0043,41,Male,Secondary,Self-Employed,Medium,Rural,31,15,17,76,62,57,6,28.06,98,27,Low,96,3,65,Yes,66.1
U0044,56,Male,None,Unemployed,Medium,Rural,26,7,35,71,45,66,10,15.84,80,25,High,90,5,58,Yes,61.7
U0045,51,Male,None,Other,Low,Rural,4,49,19,34,78,64,5,25.77,100,21,High,61,2,60,Yes,56.2
U0046,36,Female,None,Self-Employed,Low,Semi-Rural,37,21,35,87,69,75,14,26.16,96,21,Medium,68,1,78,Yes,78.0
U0047,22,Other,None,Self-Employed,High,Semi-Rural,18,42,2,40,70,45,7,24.93,87,12,Low,85,4,55,No,50.5
U0048,26,Female,High School,Self-Employed,Low,Rural,50,30,29,72,61,74,5,13.32,74,11,Low,78,2,100,No,69.3
U0049,35,Male,Primary,Self-Employed,Low,Rural,37,36,43,76,65,81,12,17.1,92,12,Low,67,3,91,No,74.2
U0050,60,Male,Secondary,Farmer,Low,Semi-Rural,6,14,9,52,56,29,14,14.33,71,20,Medium,66,2,60,Yes,46.3
U0051,24,Female,Secondary,Unemployed,Medium,Rural,44,12,34,79,36,72,9,25.85,87,21,Medium,89,2,54,Yes,64.0
U0052,64,Male,Primary,Self-Employed,Low,Rural,31,31,50,55,71,72,9,18.1,61,14,Medium,95,5,78,No,64.9
U0053,64,Female,High School,Farmer,Low,Rural,46,50,33,87,91,82,9,13.63,97,10,Medium,77,2,53,No,86.7
U0054,34,Male,Primary,Self-Employed,Low,Semi-Rural,24,16,5,66,39,46,11,27.6,96,11,Medium,87,4,94,No,51.9
U0055,54,Male,Primary,Other,Low,Semi-Rural,37,0,0,67,40,47,10,13.21,65,24,Medium,83,4,51,Yes,52.9
U0056,54,Male,Secondary,Other,Low,Semi-Rural,38,31,42,87,58,91,13,15.26,92,11,Medium,68,3,56,Yes,79.5
U0057,30,Male,None,Unemployed,Medium,Rural,14,39,8,39,66,51,15,23.64,60,26,Low,76,3,84,Yes,50.7
U0058,44,Female,None,Farmer,Medium,Rural,43,2,10,91,28,32,14,18.91,96,17,Medium,74,2,69,Yes,54.4
U0059,38,Male,High School,Self-Employed,High,Rural,45,32,49,86,61,95,9,21.96,65,21,Low,90,3,65,No,81.2
U0060,30,Female,Primary,Other,Low,Rural,48,17,32,80,60,54,7,21.77,71,11,High,54,1,90,Yes,66.2
U0061,35,Female,Secondary,Self-Employed,Low,Semi-Rural,23,2,39,69,24,78,10,29.12,87,26,Medium,72,5,93,No,58.2
U0062,28,Female,Primary,Farmer,Low,Rural,25,8,2,60,32,48,11,14.78,60,22,Low,71,5,96,No,48.0
U0063,43,Female,Secondary,Farmer,Medium,Semi-Rural,48,14,41,74,40,82,14,27.35,95,24,Medium,68,5,74,No,66.2
U0064,37,Male,Secondary,Unemployed,Low,Semi-Rural,31,30,22,65,60,64,15,18.74,60,23,High,65,3,83,No,63.2
U0065,43,Female,Secondary,Unemployed,Low,Rural,24,31,19,62,68,45,6,12.47,87,27,Low,60,4,94,No,58.7
U0066,36,Female,Secondary,Self-Employed,Low,Rural,27,34,4,57,62,30,12,15.01,86,26,Medium,91,5,52,Yes,50.4
U0067,64,Male,None,Unemployed,Low,Rural,21,42,31,51,78,55,9,20.67,87,30,High,92,3,50,Yes,60.3
U0068,54,Male,None,Student,Medium,Semi-Rural,46,41,4,82,65,24,15,19.99,62,14,High,89,3,89,No,59.5
U0069,33,Male,Secondary,Student,Low,Semi-Rural,38,33,45,66,68,77,10,21.11,72,15,Low,90,5,60,Yes,69.9
U0070,27,Female,High School,Self-Employed,Low,Semi-Rural,46,4,38,87,29,67,8,29.95,69,25,Low,71,4,67,No,63.6
U0071,58,Other,Secondary,Self-Employed,Medium,Rural,23,40,1,72,71,38,10,29.17,64,15,Medium,70,5,66,Yes,61.5
U0072,60,Female,None,Student,Medium,Semi-Rural,11,30,45,53,54,86,5,10.5,81,12,Medium,72,1,52,No,63.2
U0073,35,Female,None,Farmer,Low,Semi-Rural,27,35,3,77,57,46,15,12.48,78,21,Low,71,2,74,Yes,61.7
U0074,52,Male,None,Farmer,Medium,Rural,49,23,14,96,52,61,9,23.77,91,12,Low,51,1,78,No,72.3
U0075,64,Male,Primary,Self-Employed,High,Rural,41,29,26,65,71,60,13,18.07,88,23,Medium,59,5,97,No,65.3
U0076,21,Female,Primary,Student,Medium,Rural,22,50,46,60,100,69,15,22.82,88,16,Medium,95,3,85,No,74.7
U0077,41,Male,None,Unemployed,Low,Rural,28,13,10,53,61,47,7,11.54,91,28,Medium,64,5,78,No,53.6
U0078,37,Male,Secondary,Unemployed,High,Rural,38,7,8,62,43,38,6,19.69,100,11,Medium,60,3,96,No,49.1
U0079,51,Other,High School,Farmer,Medium,Rural,7,27,44,52,54,86,10,11.59,99,23,Medium,80,3,71,Yes,62.8
U0080,52,Female,High School,Student,Low,Semi-Rural,30,26,14,54,59,58,8,20.33,90,14,Medium,63,4,71,No,56.7
U0081,63,Female,Secondary,Student,Medium,Rural,37,48,49,62,73,81,6,28.17,70,16,Medium,91,2,91,No,71.0
U0082,43,Female,High School,Student,Low,Semi-Rural,44,38,15,80,71,43,6,12.31,77,23,Medium,89,4,95,No,66.2
U0083,39,Female,Secondary,Unemployed,High,Rural,49,16,49,95,63,87,5,18.31,91,27,Medium,58,4,77,Yes,83.0
U0084,33,Other,Primary,Student,Medium,Semi-Rural,29,8,19,65,29,51,13,15.45,100,29,Medium,72,4,69,No,50.0
U0085,35,Male,Secondary,Self-Employed,High,Rural,31,27,22,51,71,42,7,17.61,90,30,High,80,1,64,No,54.3
U0086,29,Male,High School,Unemployed,Low,Rural,42,27,9,68,73,59,11,12.95,83,26,Medium,78,5,95,No,66.8
U0087,53,Male,None,Other,Medium,Semi-Rural,29,23,17,58,62,59,5,17.98,71,25,Medium,59,1,83,No,59.5
U0088,55,Female,None,Self-Employed,Low,Rural,1,10,38,43,52,68,14,11.55,74,19,Medium,80,2,98,Yes,53.2
U0089,49,Female,Secondary,Other,Medium,Rural,31,30,3,63,75,36,8,22.91,72,10,Low,68,2,69,No,58.5
U0090,45,Male,Primary,Unemployed,Medium,Rural,18,39,24,42,85,63,7,24.62,84,24,Medium,89,2,68,No,61.2
U0091,20,Female,Primary,Self-Employed,Low,Rural,47,14,21,89,39,48,10,11.08,95,13,Low,50,2,61,Yes,61.7
U0092,42,Male,Primary,Unemployed,Low,Rural,37,47,9,69,89,48,8,21.9,100,27,High,50,2,97,Yes,68.7
U0093,46,Female,None,Self-Employed,Low,Rural,4,30,37,45,54,60,6,10.14,96,24,Low,63,1,73,Yes,52.2
U0094,19,Male,Primary,Other,High,Rural,0,46,39,47,95,83,8,18.23,83,19,Medium,79,2,99,Yes,72.2
U0095,22,Other,Primary,Unemployed,Medium,Rural,19,49,26,45,91,50,6,15.16,78,17,Low,69,5,96,No,60.3
U0096,24,Male,High School,Farmer,Low,Rural,47,0,43,73,30,90,15,16.3,75,27,High,54,1,92,No,65.2
U0097,38,Female,Secondary,Student,Low,Rural,22,47,2,60,93,27,15,11.3,99,30,Low,99,1,100,No,60.0
U0098,20,Male,High School,Student,Medium,Semi-Rural,41,15,0,75,51,32,8,10.81,76,30,High,87,1,54,Yes,54.9
U0099,52,Female,Secondary,Farmer,Low,Semi-Rural,12,3,39,37,48,76,11,27.05,63,12,Medium,59,4,66,Yes,52.0
U0100,38,Female,Secondary,Other,High,Rural,21,3,11,59,44,57,8,25.24,79,27,Medium,74,2,97,No,53.9
U0101,29,Female,Secondary,Farmer,Low,Rural,16,26,22,47,61,42,6,11.17,64,18,Low,81,3,71,No,49.7
U0102,48,Female,Secondary,Unemployed,Medium,Rural,6,13,17,46,60,57,11,23.9,65,10,Medium,77,2,78,No,53.5
U0103,43,Male,None,Other,Low,Semi-Rural,9,0,48,36,35,78,10,29.97,77,14,Low,60,3,66,Yes,48.3
U0104,25,Female,None,Farmer,Low,Rural,32,45,1,53,68,44,11,20.81,84,19,Low,74,4,80,No,54.8
U0105,58,Other,Secondary,Unemployed,High,Rural,33,2,22,74,41,60,10,26.79,70,11,Medium,82,4,75,No,59.9
U0106,25,Male,Primary,Self-Employed,Low,Semi-Rural,2,50,44,50,72,73,7,19.74,81,10,Low,87,1,88,No,63.5
U0107,23,Female,Secondary,Farmer,Low,Rural,42,34,39,74,73,61,11,21.15,84,27,Medium,74,1,89,No,69.8
U0108,19,Female,Primary,Other,Medium,Rural,45,43,43,72,78,70,7,17.33,75,21,Medium,70,3,77,No,73.2
U0109,36,Female,Primary,Student,Medium,Rural,10,26,14,45,65,45,5,23.68,100,21,High,90,2,50,Yes,51.0
U0110,51,Male,None,Other,Low,Rural,45,25,13,70,51,47,10,14.72,95,11,High,94,4,90,Yes,57.4
U0111,41,Male,Secondary,Other,Medium,Rural,46,27,43,83,56,86,13,12.95,86,18,High,95,3,86,No,75.8
U0112,44,Male,None,Unemployed,Low,Rural,32,0,6,79,32,27,12,23.09,78,15,High,75,4,74,Yes,49.3
U0113,50,Male,High School,Other,Medium,Rural,38,43,2,62,79,24,11,27.65,75,22,Low,94,5,92,Yes,55.7
U0114,28,Male,High School,Unemployed,Medium,Semi-Rural,50,50,23,78,79,72,13,15.53,72,19,Medium,61,1,52,No,76.5
U0115,40,Female,Primary,Student,Low,Rural,27,18,31,50,63,75,13,28.71,60,17,Medium,99,3,55,Yes,61.4
U0116,51,Male,High School,Unemployed,Low,Rural,18,13,13,59,48,36,7,20.89,88,20,High,82,2,77,Yes,48.8
U0117,49,Male,High School,Self-Employed,Low,Rural,31,13,30,63,63,63,11,20.59,91,23,Low,97,1,69,No,63.0
U0118,28,Male,Primary,Unemployed,Medium,Rural,13,38,12,57,78,39,15,19.79,86,15,Medium,84,2,59,No,57.9
U0119,30,Male,High School,Student,Low,Semi-Rural,45,28,7,65,68,57,14,12.7,77,16,Medium,69,5,90,No,63.5
U0120,42,Male,Secondary,Self-Employed,Low,Rural,35,20,31,81,66,59,15,29.97,75,25,Low,65,4,61,No,69.9
U0121,49,Male,Primary,Other,Medium,Rural,42,24,7,79,61,27,5,12.37,72,27,High,65,5,93,Yes,58.0
U0122,47,Male,Secondary,Other,Low,Semi-Rural,4,33,25,29,75,64,12,22.89,96,16,High,80,5,70,No,53.3
U0123,20,Female,Primary,Unemployed,Low,Rural,11,21,11,58,60,38,14,10.42,93,30,High,87,2,73,Yes,52.6
U0124,19,Male,None,Other,Medium,Rural,18,1,30,38,47,54,8,17.12,87,24,Low,64,1,54,No,45.5
U0125,32,Female,Secondary,Farmer,Medium,Rural,41,32,42,62,58,64,12,22.08,78,23,Medium,83,4,96,Yes,61.4
U0126,36,Female,High School,Student,Low,Rural,33,11,33,81,59,53,5,25.07,85,21,Medium,58,2,62,No,66.0
U0127,31,Male,High School,Other,Low,Rural,27,13,7,53,52,55,13,23.26,95,22,Low,81,5,88,Yes,53.3
U0128,45,Male,Secondary,Student,Low,Semi-Rural,45,0,37,88,48,79,9,16.59,60,12,Low,58,5,77,Yes,73.3
U0129,44,Male,Secondary,Farmer,Low,Semi-Rural,2,40,44,30,66,73,6,24.84,76,30,Medium,69,5,73,No,53.7
U0130,30,Female,High School,Self-Employed,Low,Rural,50,28,15,72,48,55,7,14.54,62,17,Medium,52,2,71,No,59.7
U0131,34,Female,Secondary,Other,Low,Rural,5,45,28,41,90,73,13,20.04,77,16,Medium,50,3,71,No,65.3
U0132,54,Female,None,Farmer,Medium,Rural,18,3,26,58,41,58,5,24.93,63,24,Medium,63,4,56,No,52.9
U0133,60,Female,Secondary,Student,Medium,Rural,7,23,8,56,61,44,12,15.35,90,21,Low,85,1,99,No,53.9
U0134,36,Female,Secondary,Farmer,Low,Rural,4,42,48,40,87,68,5,28.25,80,18,Medium,61,2,99,No,62.5
U0135,46,Male,Secondary,Student,Medium,Rural,28,30,22,73,60,59,8,28.22,83,15,Low,70,5,91,No,64.9
U0136,26,Female,High School,Student,Low,Semi-Rural,39,33,28,74,80,70,5,23.26,98,28,High,56,1,55,Yes,74.6
U0137,61,Male,Primary,Other,Low,Rural,10,16,9,43,37,53,15,12.23,70,21,Low,73,4,88,No,44.2
U0138,19,Male,None,Student,Medium,Semi-Rural,39,49,5,83,84,36,14,24.05,72,22,Low,93,4,97,No,69.2
U0139,50,Female,High School,Unemployed,Low,Semi-Rural,4,22,13,38,54,57,11,10.22,94,18,Low,57,5,52,No,48.5
U0140,50,Female,None,Unemployed,Low,Rural,26,26,48,48,63,89,6,22.96,95,22,Low,59,4,60,No,64.8
U0141,50,Female,Primary,Farmer,High,Rural,44,25,13,68,61,36,7,13.86,97,22,Medium,97,5,54,No,56.3
U0142,19,Male,None,Farmer,Low,Rural,36,3,23,66,29,69,11,19.65,88,25,High,69,1,56,No,55.8
U0143,28,Male,Primary,Farmer,Medium,Rural,14,0,20,42,27,57,5,26.32,70,11,Low,72,3,60,Yes,42.0
U0144,25,Male,High School,Student,Low,Rural,0,35,30,36,65,68,13,18.31,70,21,Low,93,3,55,No,54.3
U0145,41,Other,Secondary,Self-Employed,Low,Semi-Rural,16,44,34,46,87,76,14,12.73,81,21,Low,83,5,51,Yes,67.3
U0146,57,Male,Secondary,Unemployed,Medium,Semi-Rural,17,18,23,45,60,49,13,11.87,75,29,Medium,87,5,88,Yes,50.7
U0147,27,Male,None,Self-Employed,Low,Rural,29,5,27,57,52,60,13,27.81,60,30,High,51,2,54,No,56.4
U0148,59,Female,Primary,Self-Employed,Medium,Rural,17,1,25,51,23,69,11,23.41,63,25,Medium,67,5,97,No,48.0
U0149,64,Male,Primary,Unemployed,Low,Rural,38,14,20,59,53,41,12,14.75,98,14,Medium,59,1,54,Yes,51.8
U0150,63,Male,Secondary,Farmer,Low,Rural,2,16,38,48,45,88,10,11.99,84,15,Medium,82,1,95,Yes,59.1
U0151,48,Female,High School,Unemployed,High,Rural,32,7,35,67,33,84,7,29.92,76,16,Medium,78,2,51,Yes,61.9
U0152,40,Other,High School,Unemployed,Low,Semi-Rural,24,42,36,44,82,67,11,28.74,97,21,Medium,84,2,98,No,62.3
U0153,30,Female,Secondary,Self-Employed,Low,Semi-Rural,12,35,30,34,83,74,15,23.99,64,18,Medium,67,5,74,Yes,60.7
U0154,40,Female,High School,Unemployed,Low,Semi-Rural,20,49,28,61,72,50,12,19.35,61,29,Medium,84,3,95,No,61.0
U0155,35,Male,Secondary,Student,Low,Rural,46,28,6,72,70,36,14,26.67,83,19,Medium,59,1,100,No,60.6
U0156,37,Female,Primary,Farmer,Low,Rural,45,48,14,65,68,37,5,17.69,70,11,High,56,1,86,Yes,57.5
U0157,21,Male,None,Student,Medium,Rural,32,26,44,55,72,71,7,19.07,65,10,Medium,96,2,80,Yes,64.9
U0158,35,Female,None,Unemployed,Medium,Rural,27,40,6,60,88,32,6,25.48,88,20,Low,78,1,88,No,60.0
U0159,50,Male,Secondary,Student,Low,Rural,44,12,43,80,37,93,13,19.56,65,18,Low,92,1,77,No,71.0
U0160,34,Other,None,Student,Low,Semi-Rural,12,26,10,61,46,55,13,19.11,92,22,Low,81,4,55,No,54.7
U0161,23,Male,Secondary,Self-Employed,Low,Rural,12,0,5,39,35,38,8,27.34,92,14,Low,66,1,82,No,37.5
U0162,58,Male,High School,Self-Employed,Medium,Rural,23,43,26,59,63,74,14,20.98,72,13,High,97,1,93,Yes,64.7
U0163,43,Female,Primary,Unemployed,Low,Rural,39,45,29,67,65,50,8,25.75,71,10,Medium,61,5,50,No,61.3
U0164,40,Male,Primary,Self-Employed,Low,Rural,8,37,50,42,85,93,15,26.13,62,30,Low,85,3,96,Yes,70.2
U0165,29,Female,None,Self-Employed,Low,Rural,32,9,23,52,54,49,9,29.88,70,23,Medium,70,1,54,Yes,51.7
U0166,61,Female,None,Other,Low,Rural,13,25,22,36,74,42,5,20.29,64,27,Medium,84,2,59,No,49.2
U0167,30,Female,Secondary,Other,Low,Semi-Rural,27,43,37,69,65,73,11,13.67,91,16,Medium,100,4,92,No,69.0
U0168,30,Other,Secondary,Other,Low,Rural,4,34,10,36,76,48,6,17.2,86,16,Medium,78,1,60,No,51.6
U0169,21,Female,Primary,Other,Low,Rural,36,35,50,58,73,71,7,19.43,73,25,Medium,89,2,65,No,66.4
U0170,56,Male,None,Other,Medium,Rural,37,37,1,73,76,30,13,15.04,97,22,Medium,90,1,86,No,61.0
U0171,37,Male,High School,Self-Employed,High,Semi-Rural,46,36,26,72,74,73,8,21.56,97,22,Medium,84,3,99,No,72.9
U0172,55,Female,Primary,Farmer,Low,Semi-Rural,46,14,6,95,46,53,9,11.95,99,14,High,62,5,51,No,67.7
U0173,42,Other,Primary,Farmer,Medium,Rural,17,34,41,44,68,68,7,20.73,99,13,High,76,5,75,No,58.4
U0174,57,Male,High School,Student,Low,Rural,19,37,42,40,61,73,13,24.51,72,16,Medium,58,1,90,No,56.2
U0175,24,Female,Primary,Unemployed,Low,Rural,7,34,3,52,84,28,15,18.56,69,13,Low,80,2,52,No,54.4
U0176,62,Female,High School,Unemployed,Low,Rural,48,24,16,88,57,44,10,22.32,66,12,Low,59,2,96,No,65.5
U0177,60,Male,Primary,Student,Low,Rural,10,43,47,37,73,84,8,26.38,98,11,Low,73,4,95,Yes,61.9
U0178,62,Female,Secondary,Unemployed,High,Rural,18,48,13,54,98,45,8,18.97,64,16,Low,77,1,100,No,64.5
U0179,47,Female,Primary,Self-Employed,High,Rural,30,36,16,73,78,44,12,14.09,74,28,Medium,85,5,53,Yes,65.8
U0180,63,Other,None,Other,Medium,Rural,36,20,34,67,62,77,13,23.93,79,13,Medium,99,4,83,No,68.5
U0181,51,Male,Primary,Self-Employed,High,Semi-Rural,41,45,9,82,78,46,8,17.26,68,16,Medium,52,3,68,Yes,70.0
U0182,61,Male,Primary,Student,Low,Semi-Rural,47,13,44,96,52,69,10,10.44,77,12,Low,51,1,62,No,74.7
U0183,32,Female,Primary,Farmer,High,Rural,12,11,24,62,61,70,15,23.66,82,13,Medium,58,2,75,Yes,64.1
U0184,63,Female,Secondary,Student,Low,Semi-Rural,27,18,47,66,58,86,8,11.89,76,18,Medium,84,1,53,No,69.6
U0185,47,Male,Primary,Farmer,Medium,Rural,1,7,2,49,52,43,6,13.47,82,23,High,83,4,92,No,48.1
U0186,39,Female,None,Self-Employed,Low,Rural,13,1,37,34,31,59,10,25.82,89,12,High,69,2,77,No,40.6
U0187,48,Female,High School,Self-Employed,Low,Rural,18,12,6,64,44,44,12,29.35,71,14,Low,63,3,85,No,52.0
U0188,64,Female,Primary,Unemployed,Medium,Rural,6,44,4,43,80,25,5,16.95,67,27,Medium,79,3,70,No,48.7
U0189,28,Female,High School,Student,Low,Rural,48,38,45,91,76,83,12,12.63,81,30,Medium,87,3,67,No,84.1
U0190,46,Female,Secondary,Unemployed,Low,Semi-Rural,5,13,43,34,44,79,5,29.57,75,21,Low,83,2,62,Yes,50.5
U0191,35,Male,High School,Student,Medium,Semi-Rural,10,22,29,53,57,66,10,16.71,98,24,High,93,4,80,No,58.1
U0192,50,Female,None,Unemployed,Low,Semi-Rural,9,31,47,36,52,79,15,18.79,62,27,Medium,98,5,76,Yes,53.7
U0193,62,Female,Primary,Farmer,High,Rural,28,25,37,57,74,67,11,26.39,65,28,High,76,1,60,Yes,65.1
U0194,34,Female,Secondary,Other,Medium,Rural,7,33,50,50,78,90,7,21.67,67,29,Medium,89,3,66,Yes,70.4
U0195,52,Male,Primary,Student,Medium,Rural,27,15,24,61,43,61,7,11.91,75,23,High,52,5,56,No,55.6
U0196,37,Male,High School,Self-Employed,Low,Semi-Rural,5,5,19,43,48,64,13,24.2,84,28,High,95,5,94,No,50.8
U0197,21,Male,Secondary,Farmer,Medium,Semi-Rural,6,17,5,35,61,34,14,28.08,90,10,High,78,5,88,No,42.5
U0198,50,Female,High School,Other,Low,Rural,9,15,34,42,35,73,15,17.09,71,11,Low,69,3,85,Yes,49.2
U0199,33,Other,High School,Self-Employed,Low,Rural,42,19,49,89,39,99,8,13.08,92,27,Medium,65,2,65,No,77.0
U0200,56,Female,Primary,Unemployed,Low,Semi-Rural,46,6,8,80,47,39,8,18.94,96,18,Medium,71,3,75,No,57.8
U0201,59,Female,High School,Unemployed,Low,Rural,15,37,27,43,59,61,8,12.57,73,20,High,52,5,56,No,53.2
U0202,39,Female,High School,Student,Low,Semi-Rural,1,5,35,22,38,73,11,20.59,86,13,Medium,88,5,65,No,42.1
U0203,24,Female,Primary,Farmer,Low,Rural,23,9,12,59,55,34,9,16.79,71,15,Medium,85,1,55,No,50.3
U0204,25,Male,Secondary,Unemployed,Low,Rural,5,12,21,54,38,43,13,13.19,75,29,Medium,66,4,71,Yes,45.9
U0205,62,Male,High School,Self-Employed,Low,Semi-Rural,13,22,32,53,70,54,7,23.99,71,20,Low,83,5,70,No,58.4
U0206,31,Female,Primary,Self-Employed,Low,Semi-Rural,14,44,27,56,83,67,12,16.93,76,22,Medium,69,5,75,No,67.4
U0207,24,Male,Secondary,Other,Low,Rural,34,16,48,67,49,84,13,22.6,74,20,Low,84,2,99,Yes,66.7
U0208,44,Other,Primary,Student,Low,Semi-Rural,49,19,6,95,58,36,14,24.18,79,23,Medium,63,5,89,No,66.2
U0209,18,Male,Primary,Other,Low,Rural,27,46,36,55,67,58,5,15.76,96,26,Medium,62,1,84,Yes,59.5
U0210,57,Male,Secondary,Unemployed,Low,Semi-Rural,22,15,41,52,56,84,10,27.86,91,23,Low,79,1,96,No,62.8
