"","edad","educ","empleo","direccion","ingresos","deudaingr","deudacred","deudaotro","impago"
"221",28,"No completó el bachillerato",11,6,24,2.4,0.107136,0.468864,"No"
"222",48,"Superiores iniciados",0,27,19,10.8,0.849528,1.202472,"No"
"223",48,NA,NA,NA,113,12,3.37644,10.18356,"No"
"224",29,"Superiores iniciados",5,6,70,19.9,3.17604,10.75396,"Sí"
"225",43,"Título de Bachiller",9,5,NA,20.4,4.0392,NA,"Sí"
"226",23,"No completó el bachillerato",5,2,17,7.9,0.302175,1.040825,"No"
"227",29,"Título de Bachiller",NA,8,44,18.1,3.70326,NA,"No"
"228",40,"Título Superior",5,6,75,1.9,0.884925,NA,"No"
"229",NA,"Título de Bachiller",0,3,20,5.6,0.2072,0.9128,"No"
"230",23,NA,7,3,22,14.4,0.849024,2.318976,"No"
"231",46,"Superiores iniciados",9,10,60,15.3,1.6065,7.5735,"No"
"232",55,"No completó el bachillerato",NA,11,40,NA,0.5632,2.6368,"Sí"
"233",38,"Título de Bachiller",8,16,38,0.6,0.029412,0.198588,"No"
"234",35,"Título de Bachiller",5,1,33,NA,NA,0.820512,"No"
"235",30,"No completó el bachillerato",11,9,27,0.9,0.073872,0.169128,"No"
"236",24,"No completó el bachillerato",7,0,18,6.5,0.5265,0.6435,"No"
"237",26,"Título de Bachiller",4,3,28,NA,0.2261,2.4339,"No"
"238",32,"Título de Bachiller",2,11,15,9.1,0.118755,1.246245,"Sí"
"239",37,"Título de Bachiller",11,4,75,3.5,0.632625,1.992375,"No"
"240",39,"No completó el bachillerato",6,NA,42,19.9,2.540832,NA,"Sí"
"241",30,NA,NA,4,21,18.3,0.491904,3.351096,"No"
"242",NA,"No completó el bachillerato",10,11,39,9.5,2.056275,1.648725,"No"
"243",32,"Título de Bachiller",7,10,32,4.3,0.43344,0.94256,"No"
"244",54,"Superiores iniciados",21,20,118,14.4,9.60048,NA,"No"
"245",27,"Superiores iniciados",3,4,NA,13.3,1.60132,3.05368,"No"
"246",31,"No completó el bachillerato",12,4,31,23.7,2.05716,5.28984,"No"
"247",39,"No completó el bachillerato",15,16,39,1.8,0.139698,0.562302,"No"
"248",31,"No completó el bachillerato",5,3,25,14.1,1.17735,2.34765,"No"
"249",35,"No completó el bachillerato",15,11,40,18.5,1.2136,6.1864,"No"
"250",35,"Título de Bachiller",10,NA,98,13.3,4.874716,8.159284,"No"
"251",46,NA,22,17,144,NA,3.324672,NA,"No"
"252",33,"No completó el bachillerato",13,3,52,21.3,2.71362,8.36238,"Sí"
"253",35,"Título de Bachiller",13,3,105,1.9,1.418445,0.576555,"No"
"254",35,"Título de Bachiller",1,1,NA,7.9,0.369957,1.289043,"No"
"255",38,"No completó el bachillerato",5,13,NA,9,0.44982,1.44018,"No"
"256",41,"No completó el bachillerato",19,1,96,7.8,2.253888,5.234112,"No"
"257",38,"No completó el bachillerato",18,19,44,4.5,0.60588,1.37412,"No"
"258",34,"Superiores iniciados",2,14,39,13.2,1.142856,4.005144,"No"
"259",NA,"Superiores iniciados",NA,25,82,4.4,2.604976,1.003024,"No"
"260",34,"Título de Bachiller",10,2,33,9.5,0.573705,2.561295,"No"
"261",47,"No completó el bachillerato",15,1,30,24.5,2.21235,5.13765,"No"
"262",34,"Título de Bachiller",8,6,78,5.4,2.156544,2.055456,"No"
"263",27,"Título de Bachiller",8,7,18,11.9,0.400554,1.741446,"No"
"264",52,"No completó el bachillerato",9,NA,24,19.2,0.801792,3.806208,"Sí"
"265",39,"No completó el bachillerato",NA,6,35,5,0.23275,1.51725,"No"
"266",33,"No completó el bachillerato",NA,0,22,6.4,0.630784,0.777216,"No"
"267",34,"No completó el bachillerato",0,1,NA,7.2,0.187488,1.324512,"No"
"268",31,"Superiores iniciados",9,7,59,NA,3.109654,5.504346,"Sí"
"269",28,"No completó el bachillerato",NA,NA,16,15.2,0.870656,NA,"No"
"270",39,"No completó el bachillerato",19,16,45,3.7,0.91575,0.74925,"No"
"271",51,"Título de Bachiller",22,23,120,7.6,NA,4.97952,"No"
"272",22,"No completó el bachillerato",4,NA,16,1.2,0.08448,0.10752,"No"
"273",27,"Superiores iniciados",6,4,26,10.4,0.930176,1.773824,"No"
"274",NA,"No completó el bachillerato",16,10,38,21,0.69426,NA,"No"
"275",NA,"Título de Bachiller",6,7,38,7.2,0.774288,1.961712,"No"
"276",27,"Título de Bachiller",1,0,20,10.3,NA,1.68302,"Sí"
"277",26,"Título de Bachiller",2,6,24,13.6,1.576512,1.687488,"Sí"
"278",32,"No completó el bachillerato",14,0,36,2.4,0.273024,0.590976,"No"
"279",30,"No completó el bachillerato",0,11,17,3.7,0.44659,0.18241,"Sí"
"280",39,"No completó el bachillerato",13,1,38,8.9,NA,1.484698,"No"
"281",31,"No completó el bachillerato",11,6,28,4.8,0.345408,0.998592,"Sí"
"282",34,"No completó el bachillerato",15,2,NA,24.7,4.373382,5.259618,"Sí"
"283",31,"No completó el bachillerato",NA,3,41,12.6,0.134316,5.031684,"No"
"284",29,"Título de Bachiller",1,7,25,NA,0.5694,2.0306,"No"
"285",29,"No completó el bachillerato",9,NA,25,13.9,1.0703,2.4047,"No"
"286",35,"Título de Bachiller",9,16,30,7.6,0.6498,NA,"No"
"287",29,"No completó el bachillerato",11,7,32,6,0.92736,0.99264,"No"
"288",38,"Título de Bachiller",2,16,22,22.7,1.208548,3.785452,"Sí"
"289",35,"No completó el bachillerato",16,NA,NA,3.4,0.178704,1.045296,"No"
"290",29,"No completó el bachillerato",11,NA,36,6.1,NA,NA,"No"
"291",23,"Título de Bachiller",3,4,34,NA,0.2618,1.2342,"No"
"292",33,NA,9,NA,32,5.5,0.49632,1.26368,"No"
"293",51,"Título de Bachiller",NA,25,NA,NA,1.06848,3.38352,"No"
"294",24,NA,4,2,NA,2.6,0.099372,NA,"No"
"295",31,"No completó el bachillerato",10,12,49,9.8,3.236548,1.565452,"Sí"
"296",NA,"No completó el bachillerato",10,NA,52,5.4,0.932256,1.875744,"No"
"297",29,"No completó el bachillerato",3,NA,17,9,NA,1.06029,"No"
"298",34,"No completó el bachillerato",NA,10,20,17.1,2.04858,1.37142,"No"
"299",25,"Título de Bachiller",4,5,27,5,0.54945,0.80055,"Sí"
"300",37,"No completó el bachillerato",20,2,56,1.9,0.54264,0.52136,"No"
"301",47,"No completó el bachillerato",29,18,129,25.3,20.56131,12.07569,"Sí"
"302",NA,"Título de Bachiller",6,24,54,9.6,0.62208,4.56192,"No"
"303",47,NA,22,19,81,5.5,1.50579,2.94921,"No"
"304",24,"No completó el bachillerato",6,2,21,5.2,0.108108,0.983892,"No"
"305",27,"Superiores iniciados",5,1,75,6.3,2.206575,NA,"No"
"306",25,"No completó el bachillerato",9,NA,18,1.2,0.06588,0.15012,"No"
"307",36,"Superiores iniciados",11,12,NA,14.7,NA,6.021708,"No"
"308",39,"No completó el bachillerato",16,20,57,19.4,1.559178,9.498822,"No"
"309",26,"No completó el bachillerato",10,NA,25,7.1,1.3064,0.4686,"No"
"310",41,"No completó el bachillerato",4,19,25,NA,1.0605,1.4645,"No"
"311",39,"No completó el bachillerato",19,15,60,NA,9.5934,6.6666,"Sí"
"312",37,"No completó el bachillerato",18,8,54,12.1,4.593402,NA,"No"
"313",29,"No completó el bachillerato",2,0,NA,14.4,0.586656,1.429344,"Sí"
"314",42,"No completó el bachillerato",6,9,31,11.6,1.02486,2.57114,"No"
"315",31,"Título Superior",1,6,29,NA,1.065489,2.153511,"No"
"316",36,"No completó el bachillerato",4,15,17,17.3,0.520557,2.420443,"No"
"317",39,"No completó el bachillerato",16,4,52,20,4.16,6.24,"No"
"318",23,"Título Superior",0,2,23,6.7,0.468464,1.072536,"No"
"319",NA,"No completó el bachillerato",4,15,NA,7,0.39732,NA,"No"
"320",27,"Superiores iniciados",4,1,40,3.1,NA,0.95604,"Sí"
"321",24,"No completó el bachillerato",8,4,24,5,0.3816,0.8184,"No"
"322",27,"Superiores iniciados",3,4,NA,11,0.29205,4.65795,"Sí"
"323",41,"No completó el bachillerato",16,NA,49,1.6,0.4312,0.3528,"No"
"324",38,"No completó el bachillerato",0,8,23,8.1,0.897966,0.965034,"Sí"
"325",40,"Título de Bachiller",5,12,35,NA,1.58424,4.15576,"Sí"
"326",54,"No completó el bachillerato",25,12,120,26.5,14.5962,17.2038,"Sí"
"327",40,"No completó el bachillerato",12,NA,89,17.4,2.771994,NA,"No"
"328",40,"No completó el bachillerato",2,4,NA,3.7,0.853664,0.330336,"No"
"329",29,"No completó el bachillerato",1,8,31,8,0.15624,2.32376,"No"
"330",30,"No completó el bachillerato",8,6,23,12,0.76176,1.99824,"No"
"331",29,"No completó el bachillerato",1,1,18,1.1,0.029898,NA,"No"
"332",29,"Superiores iniciados",3,3,50,2.4,0.2592,0.9408,"Sí"
"333",28,"Título Superior",2,4,41,2.5,0.4592,0.5658,"Sí"
"334",28,"Título Superior",0,5,38,10.4,0.636272,3.315728,"No"
"335",39,"Título de Bachiller",16,9,NA,14.3,5.001711,7.725289,"No"
"336",32,"No completó el bachillerato",11,2,NA,3.3,0.089199,NA,"No"
"337",36,"Título de Bachiller",7,16,43,15.4,2.6488,3.9732,"No"
"338",NA,"No completó el bachillerato",20,12,39,8.2,0.773916,2.424084,"No"
"339",28,"Superiores iniciados",6,8,47,19.8,5.574294,3.731706,"Sí"
"340",NA,"No completó el bachillerato",NA,2,28,NA,0.43736,3.53864,"Sí"
"341",46,"No completó el bachillerato",6,19,NA,12.2,1.98555,1.79645,"No"
"342",NA,"Título de Bachiller",4,8,15,6.5,0.350025,0.624975,"No"
"343",39,"Título de Bachiller",15,19,32,4.9,0.421792,1.146208,"No"
"344",40,"Superiores iniciados",5,3,NA,16,8.1664,27.0336,"Sí"
"345",NA,"Título de Bachiller",18,4,NA,13.4,4.521696,5.394304,"No"
"346",30,NA,0,8,19,NA,0.624492,NA,"Sí"
"347",24,"Título de Bachiller",3,0,19,4.3,0.358663,0.458337,"No"
"348",32,"No completó el bachillerato",10,13,32,11.3,1.167968,2.448032,"No"
"349",29,"Título de Bachiller",NA,8,15,2.6,NA,0.24336,"No"
"350",40,NA,2,1,NA,3.8,0.277704,1.090296,"No"
"351",41,"Título de Bachiller",8,21,43,0.7,0.085785,0.215215,"No"
"352",22,"No completó el bachillerato",1,3,17,18.6,0.80631,2.35569,"No"
"353",38,"No completó el bachillerato",NA,8,34,1.2,0.036312,0.371688,"No"
"354",37,"Título de Bachiller",6,NA,62,8.5,1.18575,4.08425,"No"
"355",41,"Superiores iniciados",18,6,71,15.7,6.565583,4.581417,"Sí"
"356",41,"Superiores iniciados",7,NA,56,14.5,0.37352,7.74648,"Sí"
"357",39,NA,NA,15,22,23.1,1.915914,3.166086,"Sí"
