"","alcohol","malic_acid","ash","alcalinity_of_ash","magnesium","total_phenols","flavanoids","nonflavanoid_phenols","proanthocyanins","color_intensity","hue","Od_280_235","proline","target"
"45",13.05,1.77,2.1,17,107,3,3,0.28,2.03,5.04,NA,NA,885,0
"46",14.21,4.04,2.44,18.9,111,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080,0
"47",14.38,3.59,2.28,16,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065,0
"48",13.9,1.68,2.12,16,101,3.1,3.39,0.21,2.14,NA,NA,3.33,985,0
"49",14.1,2.02,2.4,18.8,103,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060,0
"50",13.94,1.73,2.27,17.4,108,2.88,3.54,0.32,2.08,8.9,NA,NA,1260,0
"51",13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,NA,0
"52",13.83,1.65,2.6,17.2,94,2.45,2.99,0.22,2.29,5.6,1.24,NA,1265,0
"53",13.82,1.75,2.42,14,111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190,0
"54",13.77,1.9,2.68,17.1,115,3,2.79,0.39,1.68,6.3,1.13,2.93,1375,0
"55",13.74,1.67,2.25,16.4,118,2.6,2.9,0.21,1.62,5.85,NA,3.2,1060,0
"56",13.56,1.73,2.46,20.5,116,2.96,2.78,0.2,2.45,6.25,NA,3.03,1120,0
"57",14.22,1.7,2.3,16.3,118,3.2,NA,0.26,2.03,6.38,0.94,3.31,970,0
"58",13.29,1.97,2.68,16.8,102,3,3.23,0.31,1.66,6,1.07,2.84,1270,0
"59",13.72,1.43,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285,0
"60",12.37,0.94,1.36,10.6,88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520,1
"61",12.33,1.1,2.28,16,101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680,1
"62",12.64,1.36,NA,16.8,100,2.02,1.41,0.53,0.62,NA,0.98,1.59,NA,1
"63",13.67,1.25,1.92,18,94,2.1,1.79,0.32,0.73,3.8,1.23,NA,630,1
"64",12.37,1.13,2.16,19,87,3.5,3.1,0.19,1.87,4.45,NA,2.87,NA,1
"65",12.17,1.45,2.53,19,104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355,1
"66",12.37,1.21,NA,18.1,98,2.42,2.65,0.37,2.08,4.6,1.19,NA,NA,1
"67",13.11,1.01,1.7,15,78,2.98,3.18,0.26,2.28,5.3,1.12,NA,502,1
"68",12.37,1.17,1.92,19.6,78,2.11,2,0.27,1.04,NA,1.12,3.48,510,1
"69",13.34,NA,2.36,17,110,2.53,1.3,0.55,0.42,3.17,NA,1.93,750,1
"70",12.21,1.19,1.75,16.8,151,1.85,1.28,0.14,2.5,NA,1.28,NA,718,1
"71",12.29,1.61,NA,20.4,103,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870,1
"72",13.86,1.51,2.67,25,86,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410,1
"73",13.49,1.66,2.24,24,87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472,1
"74",12.99,1.67,2.6,30,139,3.3,2.89,0.21,1.96,NA,1.31,3.5,985,1
"75",11.96,1.09,2.3,21,101,3.38,2.14,0.13,1.65,NA,0.99,3.13,886,1
"76",11.66,1.88,1.92,16,97,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428,1
"77",13.03,0.9,1.71,16,86,1.95,NA,0.24,1.46,4.6,1.19,2.48,392,1
"78",11.84,2.89,2.23,18,112,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500,1
"79",12.33,0.99,NA,14.8,136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750,1
"80",12.7,3.87,2.4,23,101,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463,1
"81",12,NA,2,19,86,2.42,NA,0.3,1.43,2.5,1.38,3.12,278,1
"82",12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714,1
"83",12.08,1.13,2.51,24,78,2,1.58,0.4,1.4,2.2,1.31,2.72,NA,1
"84",13.05,3.86,2.32,22.5,85,1.65,1.59,0.61,1.62,4.8,0.84,NA,515,1
"85",11.84,0.89,2.58,18,94,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520,1
"86",12.67,0.98,2.24,18,99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450,1
"87",12.16,NA,2.31,22.8,90,1.78,1.69,0.43,1.56,NA,1.33,2.26,495,1
"88",11.65,1.67,2.62,26,88,1.92,1.61,0.4,1.34,2.6,NA,NA,562,1
"89",11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1,2.75,680,1
"90",12.08,1.33,NA,23.6,70,2.2,1.59,0.42,1.38,1.74,1.07,NA,625,1
"91",12.08,1.83,2.32,18.5,81,1.6,1.5,0.52,1.64,2.4,NA,2.27,480,1
"92",12,1.51,2.42,22,86,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450,1
"93",12.69,1.53,2.26,20.7,80,1.38,1.46,0.58,1.62,3.05,NA,2.06,495,1
"94",12.29,2.83,2.22,18,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290,1
"95",11.62,1.99,2.28,18,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345,1
"96",12.47,1.52,2.2,19,162,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937,1
"97",11.81,2.12,2.74,21.5,134,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625,1
"98",12.29,1.41,1.98,16,85,2.55,2.5,0.29,1.77,2.9,NA,2.74,428,1
"99",12.37,1.07,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,NA,2.77,660,1
"100",12.29,3.17,2.21,18,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406,1
"101",12.08,2.08,1.7,17.5,97,2.23,2.17,0.26,1.4,NA,1.27,2.96,710,1
"102",12.6,1.34,1.9,18.5,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562,1
"103",12.34,2.45,2.46,21,98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438,1
"104",11.82,1.72,1.88,19.5,86,2.5,1.64,0.37,1.42,NA,0.94,NA,415,1
"105",12.51,1.73,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,NA,1
"106",12.42,2.55,NA,22,90,1.68,1.84,0.66,1.42,2.7,0.86,NA,315,1
"107",12.25,1.73,2.12,19,80,1.65,2.03,0.37,1.63,NA,1,3.17,510,1
"108",12.72,1.75,2.28,22.5,84,1.38,1.76,0.48,1.63,NA,NA,2.42,NA,1
"109",12.22,1.29,1.94,19,92,2.36,2.04,0.39,2.08,2.7,NA,3.02,312,1
"110",11.61,1.35,2.7,20,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,NA,1
"111",11.46,3.74,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562,1
"112",12.52,2.43,2.17,21,88,2.55,2.27,0.26,1.22,2,0.9,2.78,325,1
"113",11.76,2.68,2.92,20,103,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607,1
"114",11.41,NA,2.5,21,88,2.48,2.01,0.42,1.44,3.08,NA,2.31,434,1
"115",12.08,1.39,2.5,22.5,84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385,1
"116",11.03,1.51,2.2,21.5,85,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407,1
"117",11.82,1.47,1.99,20.8,86,1.98,1.6,0.3,1.53,1.95,NA,NA,495,1
"118",12.42,1.61,2.19,22.5,108,2,2.09,0.34,1.61,NA,1.06,2.96,NA,1
"119",12.77,3.43,1.98,16,80,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372,1
"120",12,3.43,2,19,87,2,1.64,0.37,1.87,NA,NA,3.05,564,1
"121",11.45,NA,2.42,20,96,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625,1
"122",11.56,2.05,3.23,28.5,119,3.18,5.08,0.47,1.87,6,0.93,3.69,465,1
"123",12.42,4.43,2.73,26.5,102,2.2,2.13,0.43,1.71,2.08,NA,NA,365,1
"124",13.05,NA,2.13,21.5,86,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380,1
"125",11.87,4.31,2.39,21,82,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380,1
"126",12.07,2.16,2.17,21,NA,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378,1
"127",12.43,1.53,2.29,21.5,86,2.74,3.15,0.39,1.77,NA,0.69,2.84,NA,1
"128",11.79,NA,2.78,28.5,NA,2.13,2.24,0.58,1.76,3,0.97,NA,NA,1
"129",12.37,1.63,NA,24.5,88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342,1
"130",12.04,4.3,2.38,22,80,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580,1
"131",12.86,1.35,NA,18,122,1.51,1.25,0.21,0.94,NA,0.76,1.29,630,2
"132",12.88,2.99,2.4,20,104,1.3,1.22,0.24,0.83,5.4,NA,1.42,530,2
"133",12.81,2.31,2.4,24,98,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560,2
"134",12.7,3.55,2.36,21.5,106,1.7,1.2,0.17,0.84,5,0.78,1.29,600,2
"135",12.51,NA,2.25,17.5,85,2,0.58,0.6,1.25,5.45,NA,1.51,NA,2
"136",12.6,2.46,2.2,18.5,94,1.62,0.66,0.63,0.94,NA,0.73,1.58,695,2
"137",12.25,4.72,2.54,21,89,1.38,0.47,0.53,0.8,NA,0.75,1.27,720,2
"138",12.53,NA,2.64,25,96,1.79,0.6,0.63,1.1,NA,0.82,1.69,515,2
"139",13.49,3.59,2.19,19.5,88,1.62,0.48,0.58,0.88,5.7,NA,1.82,580,2
"140",12.84,2.96,2.61,24,101,2.32,0.6,0.53,0.81,NA,NA,2.15,590,2
"141",12.93,2.81,2.7,21,96,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600,2
"142",13.36,NA,NA,20,89,1.4,0.5,0.37,0.64,5.6,0.7,NA,780,2
"143",13.52,3.17,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520,2
"144",13.62,4.95,2.35,20,92,2,0.8,0.47,1.02,NA,0.91,2.05,NA,2
"145",12.25,3.88,NA,18.5,112,1.38,0.78,0.29,1.14,8.21,NA,2,855,2
"146",13.16,3.57,NA,21,102,1.5,0.55,0.43,1.3,4,0.6,1.68,830,2
"147",13.88,NA,2.23,20,NA,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415,2
"148",12.87,4.61,2.48,21.5,86,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625,2
"149",13.32,3.24,2.38,21.5,92,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650,2
"150",13.08,3.9,2.36,21.5,113,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550,2
"151",13.5,3.12,2.62,24,123,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500,2
"152",12.79,2.67,2.48,22,112,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480,2
"153",13.11,1.9,2.75,25.5,116,2.2,1.28,0.26,1.56,NA,0.61,NA,425,2
"154",13.23,3.3,2.28,18.5,98,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675,2
"155",12.58,1.29,2.1,20,NA,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640,2
"156",13.17,5.19,2.32,22,93,1.74,0.63,0.61,1.55,NA,0.6,1.48,725,2
"157",13.84,4.12,2.38,19.5,89,1.8,0.83,0.48,1.56,NA,0.57,1.64,NA,2
"158",12.45,3.03,NA,27,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880,2
"159",14.34,1.68,NA,25,98,2.8,1.31,0.53,2.7,13,0.57,1.96,NA,2
"160",13.48,1.67,2.64,22.5,89,2.6,1.1,0.52,2.29,11.75,NA,1.78,620,2
"161",12.36,3.83,2.38,21,88,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520,2
"162",13.69,3.26,2.54,20,107,1.83,0.56,0.5,0.8,5.88,0.96,NA,680,2
"163",12.85,3.27,2.58,22,106,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570,2
"164",12.96,3.45,2.35,18.5,106,1.39,0.7,0.4,0.94,NA,0.68,NA,675,2
"165",13.78,2.76,2.3,22,90,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615,2
"166",13.73,4.36,2.26,22.5,88,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520,2
"167",13.45,NA,2.6,23,111,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695,2
"168",12.82,3.37,2.3,19.5,88,1.48,0.66,0.4,0.97,NA,0.72,1.75,685,2
"169",13.58,2.58,2.69,24.5,105,1.55,0.84,0.39,1.54,NA,0.74,1.8,750,2
"170",13.4,4.6,2.86,25,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630,2
"171",12.2,3.03,2.32,19,96,1.25,NA,0.4,0.73,5.5,0.66,1.83,510,2
"172",12.77,NA,2.28,19.5,86,1.39,NA,0.48,0.64,9.899999,0.57,1.63,470,2
"173",14.16,NA,2.48,20,91,1.68,0.7,0.44,1.24,NA,0.62,1.71,660,2
"174",13.71,5.65,2.45,20.5,95,1.68,0.61,0.52,1.06,7.7,0.64,NA,740,2
"175",13.4,3.91,2.48,23,102,1.8,0.75,0.43,1.41,NA,0.7,1.56,750,2
"176",13.27,4.28,2.26,20,120,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835,2
"177",13.17,2.59,2.37,20,120,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840,2
"178",14.13,4.1,2.74,24.5,96,2.05,0.76,0.56,1.35,9.2,NA,1.6,560,2
